,TIC,Sector,Camera,ccd,colpix,rowpix
94,351765766,14,2,3,780.9829548115209,1084.6080214086485
95,351765766,26,2,4,1241.9070783019285,1053.3232267136405
96,351770279,14,2,3,1160.008807090694,1759.09052740441
97,351770279,26,2,4,1145.823715402743,1815.6978508140303
98,351800339,14,2,3,814.339932992886,1138.243549476715
99,351800339,26,2,4,1236.7017494896006,1115.407992328426
100,351799866,14,2,3,868.8174282195157,1214.0795592788147
101,351799866,26,2,4,1235.361252601742,1207.3617438210392
102,351799992,14,2,3,856.0124995418158,1192.7645087827252
103,351799992,26,2,4,1237.7720490154709,1182.8858659676325
104,351800011,14,2,3,853.6584446417152,1189.6398595670225
105,351800011,26,2,4,1237.7373203481316,1179.0347254821968
106,351800428,14,2,3,819.6004512396551,1115.4598273078789
107,351800428,26,2,4,1254.728022067779,1099.7248891225966
108,351770237,14,2,3,1171.7219340507577,1763.3658603327704
109,351770237,26,2,4,1152.8445588412478,1825.904110157835
110,351800665,14,2,3,793.8543727113797,1077.2412853602118
111,351800665,26,2,4,1256.8272551648993,1054.383637454939
112,123125314,14,2,3,793.4931089214448,1059.440924957926
113,123125314,26,2,4,1267.2824860433502,1039.6623675215333
114,123129241,14,2,3,1158.8858739948782,1727.758987031794
115,123129241,26,2,4,1163.6608768722813,1789.5446175470327
116,351799823,14,2,3,875.4753764104287,1220.5970148169797
117,351799823,26,2,4,1236.860675689214,1216.3690862006495
118,351770213,14,2,3,1171.1187982855147,1768.7180676248138
119,351770213,26,2,4,1149.14817713203,1829.9148564144537
120,351800167,14,2,3,843.9411657995527,1159.8724536137706
121,351800167,26,2,4,1247.7667685042518,1149.383348244674
122,351800090,14,2,3,847.9542662864455,1176.9057699634614
123,351800090,26,2,4,1240.765860684935,1165.4941845056119
124,351800386,14,2,3,822.6977592706264,1121.4501203919071
125,351800386,26,2,4,1253.6364917580174,1106.3182807724818
126,351800469,14,2,3,815.9996249051496,1107.8776879451532
127,351800469,26,2,4,1256.370515037366,1091.5561698088911
128,123125634,14,2,3,821.1804855089061,1108.8820451588608
129,123125634,26,2,4,1259.985729931083,1095.228999652758
130,123129515,14,2,3,1187.9321946681018,1778.1001470686383
131,123129515,26,2,4,1157.2909393039881,1847.2192520272654
132,351800047,14,2,3,850.6551891691859,1184.7495170128773
133,351800047,26,2,4,1238.2381033418692,1173.3848373579199
134,351800716,14,2,3,793.2952777766503,1067.0125323633658
135,351800716,26,2,4,1262.548124802551,1045.7316838348281
136,351800315,14,2,3,828.39857779777,1137.0527803129055
137,351800315,26,2,4,1248.8671677436466,1122.1888851219776
138,123125417,14,2,3,811.9105835189467,1068.3498708575846
139,123125417,26,2,4,1276.9106809588852,1057.051262620522
140,123126093,14,2,3,871.4558487542388,1184.715712410163
141,123126093,26,2,4,1255.216546749132,1184.8731655846682
142,123126249,14,2,3,890.5001305841437,1207.8833891224097
143,123126249,26,2,4,1256.7821253302686,1214.336043546401
144,123126268,14,2,3,888.5467799395517,1213.8643022623028
145,123126268,26,2,4,1251.5804993747722,1218.1314098462608
146,123129687,14,2,3,1206.175636128475,1808.4809237599065
147,123129687,26,2,4,1154.044326787138,1882.4611706949893
148,123125755,14,2,3,843.8241513723277,1124.7248564548388
149,123125755,26,2,4,1268.883162354046,1120.6423164433018
150,123129266,14,2,3,1172.1965309652032,1725.3175066057236
151,123129266,26,2,4,1176.0201889976884,1795.1912019701447
152,123126028,14,2,3,866.0313429855148,1172.2009704445286
153,123126028,26,2,4,1258.3415804448548,1171.6585118589314
154,123125780,14,2,3,836.2612631135277,1134.108390988975
155,123125780,26,2,4,1257.0510468388836,1124.1251549808278
156,123126284,14,2,3,893.3023019501167,1213.6950355382974
157,123126284,26,2,4,1255.5639559640606,1220.6335006902134
158,123129669,14,2,3,1207.5000973804276,1801.9289502596687
159,123129669,26,2,4,1159.0504295268026,1877.8896455856134
160,123129670,14,2,3,1209.9920483128824,1800.6927435770758
161,123129670,26,2,4,1161.8318163812262,1878.3192830739292
162,123125690,14,2,3,831.124980713694,1115.6758946034065
163,123125690,26,2,4,1263.9902446136027,1106.2526983678654
164,123125918,14,2,3,850.4256980738156,1156.6806935110874
165,123125918,26,2,4,1254.9780802124915,1150.3634878289115
166,123126228,14,2,3,887.8002246156497,1205.238379505917
167,123126228,26,2,4,1256.1738363038078,1210.6795155540528
168,47879694,14,2,3,1229.2710799738873,1811.708277620241
169,47879694,26,2,4,1171.0379062586169,1898.4118419229662
170,123125273,14,2,3,806.2657922328176,1046.393826620858
171,123125273,26,2,4,1285.5797201106084,1036.0267422768277
172,123130447,14,2,3,1164.4867856851695,1695.5390513603952
173,123130447,26,2,4,1187.556771224572,1766.5094198815366
174,123125978,14,2,3,869.3787002787323,1160.5672183270406
175,123125978,26,2,4,1268.0950489290647,1164.0179300235864
176,123126250,14,2,3,894.1119390199838,1206.3573958210934
177,123126250,26,2,4,1260.6514978750074,1215.0958334062623
178,123129163,14,2,3,1163.4998601375057,1706.0398960540733
179,123129163,26,2,4,1180.4520741128856,1774.4993685393788
180,123125418,14,2,3,817.822713312505,1065.3781974861993
